city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi,dominant_pathway_screen,pathway_screening_rule
Accra,GHA,Lower-middle income,health,650,0.0,0.0,0.0,0.0,742719.4674081802,0.0083813524762294,19.63538932800293,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Accra,GHA,Lower-middle income,school,1093,0.0,0.0073193046660567,0.0,0.0,638794.2375488281,0.0101958131305497,19.640640258789062,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Bangkok,THA,Upper-middle income,health,17751,0.8723452199876063,0.4890992056785533,1.0,0.95622781815109,975839.3912353516,0.191142385696195,5.982968330383301,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Bangkok,THA,Upper-middle income,school,8528,0.8490853658536586,0.6281660412757973,1.0,0.964939024390244,853513.157043457,0.2063635907343118,5.982968330383301,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Bogota,COL,Upper-middle income,health,6016,0.0,0.0108045212765957,0.0,0.0,1400609.3957529068,0.0012274400951223,11.956443786621094,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Bogota,COL,Upper-middle income,school,4156,0.0,0.0204523580365736,0.0,0.0,1347866.7209565402,0.0027135864536911,11.956443786621094,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Buenos Aires,ARG,Upper-middle income,health,8455,0.0,0.1143701951507983,0.0,0.0,989396.4934082032,0.0229020509510822,25.568693161010746,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Buenos Aires,ARG,Upper-middle income,school,7461,0.0,0.1814770138051199,0.0,0.0,799786.8562011719,0.032812461247075,25.75233268737793,flood,heat>=0.5; flood>=0.15; water>=0.5
Cairo,EGY,Lower-middle income,health,13119,1.0,0.0897172040551871,1.0,1.0,2131097.465789795,0.3307854400545409,33.46064758300781,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Cairo,EGY,Lower-middle income,school,4793,1.0,0.1151679532651783,1.0,1.0,1683190.526977539,0.3130546127027657,33.946502685546875,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Delhi,IND,Lower-middle income,health,19986,1.0,0.1924847393175222,1.0,1.0,1423231.088142837,0.296032710862625,33.23406982421875,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Delhi,IND,Lower-middle income,school,14319,1.0,0.2732034359941336,1.0,1.0,1235753.866104126,0.3072431614776191,31.65951919555664,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Dhaka,BGD,Lower-middle income,health,4485,1.0,0.2073578595317725,1.0,1.0,4158707.554626465,0.2322476893651537,13.802316665649414,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Dhaka,BGD,Lower-middle income,school,4469,1.0,0.3023047661669277,1.0,1.0,3651150.860824585,0.2595358825571345,14.172784805297852,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Ho Chi Minh City,VNM,Lower-middle income,health,9935,0.8525415198792149,0.1634625062908908,0.0101660795168595,0.1444388525415199,2152768.5355709805,0.0892649452035683,9.44308090209961,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Ho Chi Minh City,VNM,Lower-middle income,school,10476,0.8243604429171439,0.2295723558610156,0.012791141657121,0.2034173348606338,1523396.3372192385,0.1082948609621428,9.444461822509766,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Houston,USA,High income,health,18210,0.5190005491488193,0.1989017023613399,0.0,0.1052169137836353,145097.67395950877,0.0943706609756778,21.01488876342773,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Houston,USA,High income,school,5477,0.5705678291035238,0.1163045462844623,0.0,0.0735804272411904,130001.28218865396,0.0867807971048627,21.01488876342773,heat,heat>=0.5; flood>=0.15; water>=0.5
Istanbul,TUR,Upper-middle income,health,17477,0.0,0.0042341362934142,0.9656691651885336,0.0032614293070893,1138381.0086669922,0.1062741823112234,7.749722957611084,water,heat>=0.5; flood>=0.15; water>=0.5
Istanbul,TUR,Upper-middle income,school,12292,0.0,0.0053693459160429,0.929873088187439,0.0043117474780344,992272.1119823091,0.110238266124852,8.923453330993652,water,heat>=0.5; flood>=0.15; water>=0.5
Jakarta,IDN,Upper-middle income,health,11275,0.0,0.0312195121951219,1.0,0.0312195121951219,1223173.6655273438,0.0821483632083725,11.140101432800291,water,heat>=0.5; flood>=0.15; water>=0.5
Jakarta,IDN,Upper-middle income,school,17134,0.0,0.0420217112174623,0.999941636512198,0.0420217112174623,1165085.9633789062,0.0856221372946424,11.140101432800291,water,heat>=0.5; flood>=0.15; water>=0.5
Johannesburg,ZAF,,health,4529,0.0,0.0,1.0,0.0,226803.1509933472,0.1421516580161126,50.08112335205078,water,heat>=0.5; flood>=0.15; water>=0.5
Johannesburg,ZAF,,school,9580,0.0,0.0,1.0,0.0,302792.1460197754,0.1143797176293439,48.777042388916016,water,heat>=0.5; flood>=0.15; water>=0.5
Karachi,PAK,Lower-middle income,health,1769,0.8654607122668174,0.0553985302430751,0.9773883550028264,0.8908988128886377,2674460.079498291,0.3130073925935246,25.90498924255371,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Karachi,PAK,Lower-middle income,school,2572,0.9183514774494556,0.041213063763608,0.9626749611197511,0.9210730948678072,2572219.4436216247,0.3205439126108314,25.90498924255371,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Kolkata,IND,Lower-middle income,health,8410,0.9330558858501784,0.2923900118906064,0.0,0.2914387633769322,1815252.1700439453,0.1091024007382977,15.391413688659668,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Kolkata,IND,Lower-middle income,school,7065,0.90828025477707,0.2655343241330502,0.0,0.2625619249823071,1623992.035949707,0.1046635637221257,15.391477584838867,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Lagos,NGA,Lower-middle income,health,1303,0.0030698388334612,0.0782808902532617,0.7313891020721413,0.0675364543361473,1446503.6458587646,0.1185037074268022,38.448123931884766,water,heat>=0.5; flood>=0.15; water>=0.5
Lagos,NGA,Lower-middle income,school,3101,0.0064495324089003,0.0780393421476943,0.6027088036117382,0.0570783618187681,1406671.976478577,0.1071064764294447,40.22747039794922,water,heat>=0.5; flood>=0.15; water>=0.5
Lima,PER,Upper-middle income,health,11872,0.0,0.0064858490566037,0.99991576819407,0.0064858490566037,994261.392578125,0.1256854700927111,11.895645141601562,water,heat>=0.5; flood>=0.15; water>=0.5
Lima,PER,Upper-middle income,school,9155,0.0,0.0131075914800655,1.0,0.0131075914800655,975720.4306640624,0.1315463422028462,11.862144470214844,water,heat>=0.5; flood>=0.15; water>=0.5
London,GBR,High income,health,16129,0.0,0.0501581003162006,0.991009982019964,0.0500341000682001,583355.6869907379,0.0822703989655867,4.095911026000977,water,heat>=0.5; flood>=0.15; water>=0.5
London,GBR,High income,school,12093,0.0,0.0675597453072025,0.987678822459274,0.0673116679070536,488271.522687912,0.0861930113854799,4.941072463989258,water,heat>=0.5; flood>=0.15; water>=0.5
Los Angeles,USA,High income,health,24749,0.2215443048203967,0.0641642086548951,1.0,0.2852640510727706,272779.2187356595,0.1317099906553767,7.867554664611816,water,heat>=0.5; flood>=0.15; water>=0.5
Los Angeles,USA,High income,school,7249,0.2152020968409435,0.1118775003448751,0.9998620499379224,0.326113946751276,286303.784406662,0.1428188965452525,7.532552719116211,water,heat>=0.5; flood>=0.15; water>=0.5
Madrid,ESP,High income,health,8573,1.0,0.0009331622535868,1.0,1.0,894788.847782135,0.1906432489865918,23.40478515625,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Madrid,ESP,High income,school,4763,1.0,0.001889565399958,1.0,1.0,727438.9219462276,0.1888161689516825,23.40478515625,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Manila,PHL,Lower-middle income,health,18365,0.8476994282602777,0.211707051456575,0.0,0.1782194391505581,1945325.217514515,0.151273593029373,12.893756866455078,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Manila,PHL,Lower-middle income,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.1696757911085226,1774363.2075805664,0.1560528588910325,13.295430183410645,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
Mexico City,MEX,Upper-middle income,health,25048,0.0,0.0877115937400191,1.0,0.0877115937400191,933714.4672851562,0.1280830251165649,8.788812637329102,water,heat>=0.5; flood>=0.15; water>=0.5
Mexico City,MEX,Upper-middle income,school,14632,0.0,0.1215828321487151,1.0,0.1215828321487151,890956.6145019531,0.1363743832506742,9.684009552001951,water,heat>=0.5; flood>=0.15; water>=0.5
Miami,USA,High income,health,9433,0.0,0.0545955687480122,0.2237888264602989,0.0356196332025866,214689.50337316096,0.0519770373238544,5.1929612159729,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Miami,USA,High income,school,2377,0.0,0.0134623474968447,0.3230963399242743,0.0063104753891459,215569.0180388894,0.0551232929597196,6.185729503631592,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Nairobi,KEN,Lower-middle income,health,1716,0.0,0.0005827505827505,0.0,0.0,970385.2364068032,0.026536322463865,21.247148513793945,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Nairobi,KEN,Lower-middle income,school,1757,0.0,0.0011383039271485,0.0,0.0,786435.3405514024,0.0270181458242596,21.247148513793945,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
New York City,USA,High income,health,36487,0.0,0.0600761915202674,0.4263162222161317,0.0237344807739742,859378.1511987615,0.0654664243303524,4.5445332527160645,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
New York City,USA,High income,school,11968,0.0,0.0746991978609625,0.4666610962566845,0.0294953208556149,834284.4910474606,0.0746584156939781,5.117814540863037,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Paris,FRA,High income,health,8426,0.0,0.0871113220982672,0.0,0.0,1062523.542602539,0.0501486308882166,4.692917823791504,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Paris,FRA,High income,school,7355,0.0,0.1023793337865397,0.0,0.0,899730.6577148438,0.0542184203298378,5.029542446136475,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Rome,ITA,High income,health,6181,0.8333602976864585,0.0859084290567869,1.0,0.840478886911503,513819.7078335285,0.1567623399735021,22.16680145263672,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Rome,ITA,High income,school,2986,0.7957133288680509,0.124246483590087,1.0,0.8154722036168788,455750.3472004831,0.1636938290917558,21.037521362304688,heat+water,heat>=0.5; flood>=0.15; water>=0.5
Rotterdam,NLD,High income,health,2882,0.0,0.4805690492713393,0.0024288688410825,0.0024288688410825,199539.85789704323,0.0571528559190639,4.361252307891846,flood,heat>=0.5; flood>=0.15; water>=0.5
Rotterdam,NLD,High income,school,2339,0.0,0.5352714835399743,0.002992731936725,0.002992731936725,197092.1440730095,0.0629752588698078,4.460842132568359,flood,heat>=0.5; flood>=0.15; water>=0.5
Sao Paulo,BRA,Upper-middle income,health,36921,0.0,0.0160613201159231,0.0,0.0,934979.125,0.0828914157823156,27.28835105895996,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Sao Paulo,BRA,Upper-middle income,school,17716,0.0,0.0212237525400767,0.0,0.0,918242.5612752698,0.0851087841618137,27.58666229248047,threshold_limited,heat>=0.5; flood>=0.15; water>=0.5
Shanghai,CHN,Upper-middle income,health,341,0.9501466275659824,0.5806451612903226,0.9530791788856304,0.9941348973607038,2269692.6665039062,0.2419155541612108,12.410492897033691,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Shanghai,CHN,Upper-middle income,school,305,0.9442622950819672,0.6622950819672131,0.9442622950819672,0.9901639344262296,1897454.412109375,0.2647628438704408,20.06517601013184,heat+flood+water,heat>=0.5; flood>=0.15; water>=0.5
Tokyo,JPN,High income,health,38519,0.5788312261481346,0.1423193748539681,0.0,0.0324515174329551,904022.6329803468,0.106582246247849,2.809330940246582,heat,heat>=0.5; flood>=0.15; water>=0.5
Tokyo,JPN,High income,school,15256,0.6015338227582591,0.1662952281069743,0.0,0.0419507079181961,905435.2280197144,0.1140237431312127,2.809330940246582,heat+flood,heat>=0.5; flood>=0.15; water>=0.5
