city,facility_type,n_observed,n_simulated_per_rep,observed_heat_share,observed_flood_share,observed_water_share,observed_compound_share,counterfactual_compound_mean,counterfactual_compound_p05,counterfactual_compound_p95,observed_minus_counterfactual
Dhaka,health,4485,4485,1.0,0.20735785953177258,1.0,1.0,1.0,1.0,1.0,0.0
Dhaka,school,4469,4469,1.0,0.30230476616692775,1.0,1.0,1.0,1.0,1.0,0.0
Lagos,health,1303,1303,0.0030698388334612432,0.07828089025326171,0.7313891020721413,0.06753645433614736,0.09129700690713735,0.07900997697620875,0.10602455871066768,-0.023760552570989996
Lagos,school,3101,3101,0.0064495324089003546,0.0780393421476943,0.6027088036117382,0.05707836181876814,0.09327313769751693,0.0854563044179297,0.10125765881973557,-0.03619477587874879
Nairobi,health,1716,1716,0.0,0.0005827505827505828,0.0,0.0,0.0,0.0,0.0,0.0
Nairobi,school,1757,1757,0.0,0.0011383039271485487,0.0,0.0,0.0,0.0,0.0,0.0
Mexico City,health,25048,5000,0.0,0.08771159374001916,1.0,0.08771159374001916,0.15194999999999997,0.1432,0.16185,-0.06423840625998081
Mexico City,school,14632,5000,0.0,0.12158283214871514,1.0,0.12158283214871514,0.151528,0.14358,0.15901,-0.029945167851284857
Jakarta,health,11275,5000,0.0,0.03121951219512195,1.0,0.03121951219512195,0.09564399999999999,0.088,0.10243000000000001,-0.06442448780487804
Jakarta,school,17134,5000,0.0,0.04202171121746236,0.9999416365121979,0.04202171121746236,0.09579199999999999,0.08999,0.10121999999999999,-0.05377028878253763
Sao Paulo,health,36921,5000,0.0,0.016061320115923188,0.0,0.0,0.0,0.0,0.0,0.0
Sao Paulo,school,17716,5000,0.0,0.021223752540076767,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,health,2882,2882,0.0,0.48056904927133937,0.0024288688410825814,0.0024288688410825814,0.003785565579458709,0.002411519777931992,0.005916030534351144,-0.0013566967383761277
Rotterdam,school,2339,2339,0.0,0.5352714835399743,0.002992731936725096,0.002992731936725096,0.003950406156477127,0.0017101325352714834,0.006434373663958956,-0.0009576742197520312
Houston,health,18210,5000,0.5190005491488193,0.19890170236133992,0.0,0.10521691378363536,0.086484,0.0798,0.0934,0.018732913783635355
Houston,school,5477,5000,0.5705678291035238,0.1163045462844623,0.0,0.07358042724119043,0.08676000000000003,0.07979,0.09304,-0.013179572758809599
Shanghai,health,341,341,0.9501466275659824,0.5806451612903226,0.9530791788856305,0.9941348973607038,0.9377712609970675,0.9120234604105572,0.9618768328445748,0.05636363636363628
Shanghai,school,305,305,0.9442622950819672,0.6622950819672131,0.9442622950819672,0.9901639344262295,0.9369180327868852,0.911311475409836,0.9573770491803278,0.053245901639344284
Kolkata,health,8410,5000,0.9330558858501784,0.2923900118906064,0.0,0.2914387633769322,0.330886,0.32057,0.34201000000000004,-0.039447236623067816
Kolkata,school,7065,5000,0.9082802547770701,0.2655343241330502,0.0,0.2625619249823071,0.33054199999999995,0.31955,0.34222,-0.06798007501769282
Bangkok,health,17751,5000,0.8723452199876063,0.4890992056785533,1.0,0.95622781815109,0.958082,0.9534,0.96241,-0.0018541818489099526
Bangkok,school,8528,5000,0.8490853658536586,0.6281660412757973,1.0,0.9649390243902439,0.9580839999999999,0.9533900000000001,0.96284,0.006855024390243991
Manila,health,18365,5000,0.8476994282602777,0.211707051456575,0.0,0.17821943915055813,0.17640600000000003,0.16718999999999998,0.18509,0.0018134391505580938
Manila,school,10302,5000,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,0.17512,0.16815,0.18363000000000002,-0.00544420889147737
Ho Chi Minh City,health,9935,5000,0.8525415198792149,0.1634625062908908,0.010166079516859588,0.1444388525415199,0.241992,0.2332,0.25011,-0.09755314745848012
Ho Chi Minh City,school,10476,5000,0.8243604429171439,0.22957235586101565,0.012791141657121039,0.20341733486063382,0.24211599999999994,0.23152,0.25222,-0.03869866513936612
Delhi,health,19986,5000,1.0,0.19248473931752227,1.0,1.0,1.0,1.0,1.0,0.0
Delhi,school,14319,5000,1.0,0.27320343599413366,1.0,1.0,1.0,1.0,1.0,0.0
Karachi,health,1769,1769,0.8654607122668174,0.055398530243075186,0.9773883550028265,0.8908988128886377,0.8702939513849635,0.8586489542114188,0.8824759751271904,0.020604861503674243
Karachi,school,2572,2572,0.9183514774494557,0.04121306376360809,0.9626749611197511,0.9210730948678072,0.8706259720062209,0.8600311041990669,0.8822706065318818,0.05044712286158626
Cairo,health,13119,5000,1.0,0.08971720405518713,1.0,1.0,1.0,1.0,1.0,0.0
Cairo,school,4793,4793,1.0,0.11516795326517838,1.0,1.0,1.0,1.0,1.0,0.0
Istanbul,health,17477,5000,0.0,0.004234136293414201,0.9656691651885335,0.0032614293070893172,0.006674,0.005,0.00861,-0.003412570692910683
Istanbul,school,12292,5000,0.0,0.005369345916042954,0.929873088187439,0.004311747478034494,0.006636,0.00519,0.008409999999999999,-0.002324252521965506
London,health,16129,5000,0.0,0.05015810031620063,0.991009982019964,0.05003410006820014,0.07709,0.071,0.083,-0.027055899931799868
London,school,12093,5000,0.0,0.06755974530720252,0.987678822459274,0.06731166790705367,0.07768599999999999,0.07159,0.08281999999999999,-0.010374332092946317
Paris,health,8426,5000,0.0,0.08711132209826727,0.0,0.0,0.0,0.0,0.0,0.0
Paris,school,7355,5000,0.0,0.10237933378653977,0.0,0.0,0.0,0.0,0.0,0.0
Madrid,health,8573,5000,1.0,0.0009331622535868425,1.0,1.0,1.0,1.0,1.0,0.0
Madrid,school,4763,4763,1.0,0.0018895653999580096,1.0,1.0,1.0,1.0,1.0,0.0
Rome,health,6181,5000,0.8333602976864585,0.08590842905678693,1.0,0.840478886911503,0.78864,0.7803599999999999,0.7960200000000001,0.05183888691150296
Rome,school,2986,2986,0.7957133288680509,0.12424648359008707,1.0,0.8154722036168788,0.7887106496985935,0.774614869390489,0.7994139316811788,0.026761553918285275
New York City,health,36487,5000,0.0,0.06007619152026749,0.42631622221613175,0.023734480773974293,0.03982399999999999,0.036,0.043609999999999996,-0.016089519226025698
New York City,school,11968,5000,0.0,0.07469919786096256,0.4666610962566845,0.029495320855614973,0.03927800000000001,0.034789999999999995,0.0448,-0.009782679144385034
Los Angeles,health,24749,5000,0.22154430482039678,0.06416420865489515,1.0,0.28526405107277064,0.360872,0.34817000000000004,0.37153,-0.07560794892722938
Los Angeles,school,7249,5000,0.21520209684094357,0.11187750034487516,0.9998620499379225,0.32611394675127603,0.36135199999999995,0.35156000000000004,0.37122999999999995,-0.03523805324872392
Miami,health,9433,5000,0.0,0.054595568748012295,0.22378882646029896,0.03561963320258666,0.031318,0.02679,0.03501,0.004301633202586662
Miami,school,2377,2377,0.0,0.013462347496844763,0.3230963399242743,0.006310475389145982,0.031733277240218766,0.026503996634413125,0.037442153975599496,-0.025422801851072784
Buenos Aires,health,8455,5000,0.0,0.11437019515079834,0.0,0.0,0.0,0.0,0.0,0.0
Buenos Aires,school,7461,5000,0.0,0.18147701380511996,0.0,0.0,0.0,0.0,0.0,0.0
Lima,health,11872,5000,0.0,0.006485849056603774,0.9999157681940701,0.006485849056603774,0.03185,0.0276,0.035809999999999995,-0.02536415094339623
Lima,school,9155,5000,0.0,0.013107591480065538,1.0,0.013107591480065538,0.031226000000000004,0.0272,0.03562,-0.018118408519934466
Bogota,health,6016,5000,0.0,0.010804521276595746,0.0,0.0,0.0,0.0,0.0,0.0
Bogota,school,4156,4156,0.0,0.02045235803657363,0.0,0.0,0.0,0.0,0.0,0.0
Johannesburg,health,4529,4529,0.0,0.0,1.0,0.0,0.0002296312651799514,0.0,0.0006623978803267829,-0.0002296312651799514
Johannesburg,school,9580,5000,0.0,0.0,1.0,0.0,0.000212,0.0,0.0006,-0.000212
Accra,health,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accra,school,1093,1093,0.0,0.007319304666056725,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,health,38519,5000,0.5788312261481346,0.14231937485396817,0.0,0.032451517432955164,0.05540199999999999,0.05,0.06161,-0.02295048256704483
Tokyo,school,15256,5000,0.6015338227582591,0.1662952281069743,0.0,0.04195070791819612,0.055124000000000006,0.0506,0.06044,-0.013173292081803886
